Time [s],Packet ID,Address,Data,Read/Write,ACK/NAK
2.539224600000000,0,4,'2',Write,ACK
2.539445600000000,1,5,'12',Read,ACK
2.539544160000000,1,5,P,Read,NAK
2.539953920000000,2,4,'8',Write,ACK
2.540174760000000,3,5,'8',Read,ACK
2.540285120000000,3,5,'150',Read,ACK
2.540383680000000,3,5,'144',Read,ACK
2.540482240000000,3,5,'1',Read,ACK
2.540580800000000,3,5,\n,Read,ACK
2.540679360000000,3,5,'4',Read,ACK
2.540777920000000,3,5,'177',Read,ACK
2.540876480000000,3,5,'4',Read,ACK
2.540975000000000,3,5,'0',Read,NAK
2.541438400000000,4,4,0,Write,ACK
2.541536960000000,4,4,'4',Write,ACK
2.541635520000000,4,4,'4',Write,ACK
2.541734080000000,4,4,'17',Write,ACK
2.541832640000000,4,4,'4',Write,ACK
2.541931200000000,4,4,' ',Write,ACK
2.542242440000000,5,4,'5',Write,ACK
2.542340960000000,5,4,'7',Write,ACK
2.542439520000000,5,4,'7',Write,ACK
2.548271600000000,6,4,'2',Write,ACK
2.548517480000000,7,5,'4',Read,ACK
2.548616040000000,7,5,'0',Read,NAK
2.548877080000000,8,4,'3',Write,ACK
2.549098080000000,9,5,'128',Read,ACK
2.549196640000000,9,5,E,Read,NAK
2.549612240000000,10,4,'2',Write,ACK
2.549833200000000,11,5,'0',Read,ACK
2.549931760000000,11,5,'0',Read,NAK
2.550192800000000,12,4,'3',Write,ACK
2.550413800000000,13,5,'128',Read,ACK
2.550512320000000,13,5,E,Read,NAK
2.550834840000000,14,4,'2',Write,ACK
2.551055840000000,15,5,'0',Read,ACK
2.551154360000000,15,5,'0',Read,NAK
2.551501040000000,16,4,'3',Write,ACK
2.551722040000000,17,5,'128',Read,ACK
2.551820600000000,17,5,E,Read,NAK
2.552143240000000,18,4,'2',Write,ACK
2.552364200000000,19,5,'0',Read,ACK
2.552462760000000,19,5,'0',Read,NAK
2.552723560000000,20,4,'3',Write,ACK
2.552944520000000,21,5,'128',Read,ACK
2.553043080000000,21,5,E,Read,NAK
2.553377080000000,22,4,'2',Write,ACK
2.553598080000000,23,5,'0',Read,ACK
2.553696640000000,23,5,'0',Read,NAK
2.553957720000000,24,4,'3',Write,ACK
2.554178680000000,25,5,'128',Read,ACK
2.554277200000000,25,5,E,Read,NAK
2.554603960000000,26,4,'2',Write,ACK
2.554824960000000,27,5,'0',Read,ACK
2.554923520000000,27,5,'0',Read,NAK
2.555184560000000,28,4,'3',Write,ACK
2.555485320000000,29,5,'128',Read,ACK
2.555583880000000,29,5,E,Read,NAK
2.555906520000000,30,4,'2',Write,ACK
2.556127520000000,31,5,'0',Read,ACK
2.556226040000000,31,5,'0',Read,NAK
2.556533520000000,32,4,'3',Write,ACK
2.556903440000000,33,5,'128',Read,ACK
2.557002000000000,33,5,E,Read,NAK
2.557361320000000,34,4,'2',Write,ACK
2.557582280000000,35,5,'0',Read,ACK
2.557680840000000,35,5,'0',Read,NAK
2.557941880000000,36,4,'3',Write,ACK
2.558162880000000,37,5,'128',Read,ACK
2.558261440000000,37,5,E,Read,NAK
2.558584080000000,38,4,'2',Write,ACK
2.558805080000000,39,5,'0',Read,ACK
2.558903600000000,39,5,'0',Read,NAK
2.559164680000000,40,4,'3',Write,ACK
2.559470000000000,41,5,'128',Read,ACK
2.559568560000000,41,5,E,Read,NAK
2.559891200000000,42,4,'2',Write,ACK
2.560112200000000,43,5,'0',Read,ACK
2.560210760000000,43,5,'0',Read,NAK
